Max_achat;Date;CODE;  desc;Nom du demandeur;Resposable;Type;Description;fournisseur;Quantité; P.U ;Montant;service;Agence;observation;FA N°;Colonne1
45684Prod0004;27/01/2025;Prod0004;Billet d'avion ;SUZY;NONLA;Agence de voyage;0;BLUEBERRY TRAVEL;1;6 025 800,00;6 025 800,00;DAMG;Siège;Billet Nonla retour ABJ;ITI00063597;
45684Prod0004;27/01/2025;Prod0004;Billet d'avion ;SUZY;NONLA;Agence de voyage;0;BLUEBERRY TRAVEL;1;8 991 400,00;8 991 400,00;DAMG;Siège;Billet Patrick et Lassiné;ITI00063359;
45685Prod0068;28/01/2025;Prod0068;Frais transport de fonds;TOLOTRA;DO;Prestation ;0;BRINKS;1;712 920,00;712 920,00;DO;Agence Principale;Transport de fonds par Brinks pour l'Agence Tamatave pour le mois de dec24;27570125;
45685Pmat0031;28/01/2025;Pmat0031;Cachet;SUZY;NONLA;Petits matériels;0;BLEU PINK CREATION;1;994 000,00;994 000,00;M. Generaux;Agence Colbert;Confection de cachet pour l'Agence Colbert;25-2025;
45685IMP0008;28/01/2025;IMP0008;Tote bags avec Logo imprimé;SUZY;NONLA;Travaux d'impressions et publicité;0;Bluebird;200;10 000,00;2 000 000,00;DAMG;Siège;Tote Bag;0090125-BB;
45685EV008;28/01/2025;EV008;Entretien véhicule 15000km;SUZY;NONLA;Entretien véhicule ;0;AUTO DIFFUSION ;1;693 576,00;693 576,00;DAMG;Siège;Entretien 15 000 km voiture DE;AD/SAV/2025/0085;
45685Pmat0031;28/01/2025;Pmat0031;Cachet;SUZY;NONLA;Petits matériels;0;BLEU PINK CREATION;8;120 000,00;960 000,00;DAMG;Siège;Cachet trodat 4729;FA N°25-2025;
45685Pmat0031;28/01/2025;Pmat0031;Cachet;SUZY;NONLA;Petits matériels;0;BLEU PINK CREATION;1;15 000,00;15 000,00;DAMG;Siège;HP 1027 cachet;FA N°25-2025;
45685Pmat0031;28/01/2025;Pmat0031;Cachet;SUZY;NONLA;Petits matériels;0;BLEU PINK CREATION;3;25 000,00;75 000,00;DAMG;Siège;HP 1070 Cachet;FA N°25-2025;
45685Pmat0031;28/01/2025;Pmat0031;Cachet;SUZY;NONLA;Petits matériels;0;BLEU PINK CREATION;2;32 000,00;64 000,00;DAMG;Siège;HP 1660 Cachet;FA N°25-2025;
45685DIV0013;28/01/2025;DIV0013;Recharge Bonbonne d'eau;SUZY;NONLA;Divers;0;WIDISTRI;15;22 000,00;330 000,00;DAMG;Siège;Recharge bonbonne d'eau du 28/01 au 04/02/2025;CPT24400125;
45687IMP0013;30/01/2025;IMP0013;Stylos bleus avec Logo imprimé;CATHY;CATHY;Travaux d'impressions et publicité;0;TITI STORE;50;4 500,00;225 000,00;DMC;Siège;Goodies Vip;0010/25;
45687DIV004;30/01/2025;DIV004;Goodies VIP;CATHY;CATHY;divers;0;Renala ;1;563 001,60;563 001,60;DMC;Siège;Achat de goodies VIP;FA/2025/2767;
45688CONS0010;31/01/2025;CONS0010;Carburant;SUZY;NONLA;Consommable;0;TOTAL Energies;1;19 259 004,25;19 259 004,25;DAMG;Siège;Consommation carburant carte post-payées mois de Janvier2025;FA25/103717;
45688CONS0010;31/01/2025;CONS0010;Carburant;SUZY;NONLA;Consommable;0;TOTAL Energies;1;12 670 000,00;12 670 000,00;DAMG;Siège;Consommation carburant carte pré-payées mois de Janvier2025;PM25/105778;
45688Prod0038;31/01/2025;Prod0038;Envoi courrier et colis ;SUZY;NONLA;Prestation; ;Madagascar Express;1;106 000,00;106 000,00;M. Generaux;Siège;envoi de courrier et colis depuis le Siège à l'agence Tamatave janv25;NAT25/00057;
45688Prod0038;31/01/2025;Prod0038;Envoi courrier et colis ;SUZY;NONLA;Prestation; ;Madagascar Express;1;53 200,00;53 200,00;M. Generaux;Agence Tamatave;envoi de courrier et colis depuis l'Agence Tamatave au siège janv25;NAT25/00076;
45688Prod0074;31/01/2025;Prod0074;Service SWIFT;DANIEL;DANIEL;Prestation; ;SWIFT SC;1;830 000,00;830 000,00;Opération;Siège;Frais d'abonnement mensuel SWIFT pour le mois de janv25 166EUR taux pris 5000MGA;3025005103;
45688DIV004;31/01/2025;DIV004;Goodies VIP;SUZY;NONLA;divers;0;Renala ;1;165 000,00;165 000,00;DAMG;Siège;Coffret cadeau VIP en début d'année;FA/2025/2773;
45688IMP0009;31/01/2025;IMP0009;Polos avec Logo imprimé;CATHY;CATHY;Travaux d'impressions et publicité;0;Bluebird;30;37 000,00;1 110 000,00;DMC;Siège;Achat polo imprimé AFG Bank Madagascar;0090125-BB;
45688IMP0052;31/01/2025;IMP0052;Casquette personnalisé;CATHY;CATHY;Travaux d'impressions et publicité;0;Bluebird;30;10 000,00;300 000,00;DMC;Siège;Achat casquette AFG Bank Madagascar;0090125-BB;
45688Prod0068;31/01/2025;Prod0068;Frais transport de fonds;TOLOTRA;DANIEL;Prestation ;0;BRINKS;1;945 000,00;945 000,00;DO;Siège;Frais de transfert de fond Tamatave;2080125;
45688Prod0068;31/01/2025;Prod0068;Frais transport de fonds;TOLOTRA;DANIEL;Prestation ;0;BRINKS;1;6 916 800,00;6 916 800,00;DO;Siège;Frais de transfert de fonds siège;2090125;
45688Prod0068;31/01/2025;Prod0068;Frais transport de fonds;TOLOTRA;DANIEL;Prestation ;0;BRINKS;1;3 524 520,00;3 524 520,00;DO;Siège;Frais de transfert de fonds siège;380125;
45689Prod0055;01/02/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;AIRTEL;1;626 767,86;626 767,86;DSI;GAB BUT;Connecion internet GAB BUTJanv25;9,50E+14;
45689Prod0075;01/02/2025;Prod0075; SIP Trunk (tel fixe sortant);NALI AIME;NALI AIME;Prestation;0;AIRTEL;1;648 000,00;648 000,00;DSI;Siège;Mensuliaté SIP TRUNK janvier25;9,50E+14;
45689Prod0075;01/02/2025;Prod0075; SIP Trunk (tel fixe sortant);NALI AIME;NALI AIME;Prestation;0;AIRTEL;1;71 490,82;71 490,82;DSI;Siège;Consommation appel extérieure janv25;9,50E+14;
45689Prod0055;01/02/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;TELMA;1;30 192 000,00;30 192 000,00;DSI;Siège;Internet pour le siège mois de fev25;6922160;
45689Prod0055;01/02/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;TELMA;1;744 000,00;744 000,00;DSI;Siège;SMPP Relay Fev25;F2502650672;
45689Prod0055;01/02/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;TELMA;1;12 230 322,58;12 230 322,58;DSI;Siège;interco siège avec Agence Tamatave/ Colbert;6883718;
45689Prod0025;01/02/2025;Prod0025;Liaison louée internationale;NALI AIME;NALI AIME;Prestation Telma;0;TELMA;1;28 885 740,00;28 885 740,00;DSI;AFG COMORES;LLI Fev25 AFG COMORES;FC SIE250014337B;
45689Prod0025;01/02/2025;Prod0025;Liaison louée internationale;NALI AIME;NALI AIME;Prestation Telma;0;TELMA;1;54 882 906,00;54 882 906,00;DSI;Siège;LLI Fev25 AFG Bank Madagascar;FC SIE250014337A;
45689prod0098;01/02/2025;prod0098;abonnement envoi sms de AFG Bank;NALI AIME;NALI AIME;prestation;0;TELMA;1;1 910 274,00;1 910 274,00;DSI;Siège;Abonnement SMS Connect fev25;F2502655783;
45689Prod0055;01/02/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;TELMA;1;1 156 994,00;1 156 994,00;DSI;Siège;Connexion TPE fev25;F2502653535;
45689Prod0048;01/02/2025;Prod0048;Abonnement flotte mobile ;NONLA;NONLA;Prestation Telma;0;TELMA;1;9 428 306,00;9 428 306,00;DAMG;Siège;Abonnement téléphonique Telma mois de fev25;F2502650587;
45689Prod0055;01/02/2025;Prod0055; Connexion internet;EDGARD;EDGARD;internet;0;TELMA;1;124 500,00;124 500,00;DAMG;SCM;connexion FO Edgard FEv25;6909104;
45689Prod0055;01/02/2025;Prod0055; Connexion internet;DG Gervais;DG Gervais;internet;0;TELMA;1;124 500,00;124 500,00;DAMG;AFG OI;connexion FO DG Gervais FEv25;6919427;
45689Prod0055;01/02/2025;Prod0055; Connexion internet;NONLA;NONLA;internet;0;TELMA;1;124 500,00;124 500,00;DAMG;Siège;connexion FO Nonla KONE FEv25;6922556;
45689Prod0055;01/02/2025;Prod0055; Connexion internet;SG;SG;internet;0;TELMA;1;124 500,00;124 500,00;DAMG;Siège;connexion FO Sophie FEv25;F2502650793;
45689Prod0055;01/02/2025;Prod0055; Connexion internet;DGA;DGA;internet;0;TELMA;1;124 500,00;124 500,00;DAMG;Siège;connexion FO DGA FEv25;F2502655993;
45689Prod0055;01/02/2025;Prod0055; Connexion internet;DG Ina;DG Ina;internet;0;TELMA;1;124 500,00;124 500,00;DAMG;Siège;connexion FO DG Ina FEv25;F2502655046;
45689Prod0055;01/02/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;TELMA;1;352 000,00;352 000,00;DSI;GAB Analamahitsy;Interco GAB Analamahitsy fev25;6923404;
45689Prod0055;01/02/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;TELMA;1;1 336 000,00;1 336 000,00;DSI;AFG ASSUR;Connexion AFG ASSUR fev25;F2502656085;
45689Prod0055;01/02/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;GULFSAT Madagascar;1;6 600 000,00;6 600 000,00;DSI;Siège;Liaison BFM-AFG Bank mois de FEv25;612929/010225;
45689Prod0014;01/02/2025;Prod0014;Jirama eau et éléctricité;SUZY;NONLA;Prestation;0;SIRR;1;61 536,31;61 536,31;DAMG;GAB BUT;électricité GAB BUT DEC 24 refacturation;FA2500269;
45689Prod0053;01/02/2025;Prod0053;Abonnement puce Orange;NALI AIME;NALI AIME;Prestation ;0;ORANGE;1;175 657,21;175 657,21;DSI;Siège;Abonnement puce orange CRC Janv25;1585762;
45689prod0101;01/02/2025;prod0101;Loyer GAB BUT ;SUZY;NONLA;Prestation;0;SIRR;1;750 000,00;750 000,00;DAMG;GAB BUT;Loyer GAB But Fev25;FA2500268;
45689Prod0051;01/02/2025;Prod0051;Loyer Tamatave;SUZY;NONLA;Prestation Loyer;0;SCI LAM;1;12 101 251,93;12 101 251,93;DAMG;Agence Tamatave;Loyer Tamatave mois de Fev25;FC1702261;
45689Prod0055;01/02/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;GULFSAT Madagascar;1;6 600 000,00;6 600 000,00;DSI;Siège;Interco BFM-AFG bank FEV25;612929/010225;
45689Prod0051;01/02/2025;Prod0051;Loyer Tamatave;SUZY;NONLA;Prestation Loyer;0;SCI LAM;1;11 926 790,57;11 926 790,57;DAMG;Agence Tamatave;Loyer Tamatave mois de Fev25;FC1702308;
45691prod0110;03/02/2025;prod0110;loyer digital corner analamahitsy;NONLA;NONLA;prestation; ;DOMAINE DU TRESOR MADAGASCAR;1;2 284 590,00;2 284 590,00;M. Generaux;GAB Analamahitsy;Loyer GAB Analamahitsy Fev25;BT-DTM/FAC/bd/004/2025;
45691Prod0003;03/02/2025;Prod0003;Assurance flotte automobile;NONLA;NONLA;Assurance;0;AFG ASSUR Madagascar;1;59 537 166,00;59 537 166,00;DAMG;Siège;Assurance multi-risque de la flotte automobile pour l'année 2025;301405-012025;
45691Prod0028;03/02/2025;Prod0028;Loyer Andranomena;SUZY;NONLA;Prestation;0;SIYAN;1;18 863 150,17;18 863 150,17;DAMG;Agence Andranomena;Loyer local Andranomena mois de FEV25;PSI-2500078;
45691DIV004;03/02/2025;DIV004;Goodies VIP;CATHY;CATHY;divers;0;Goodies Land;1;3 000 000,00;3 000 000,00;DMC;Siège;Achat coffret standart personnalisé;;
45692Prod0064;04/02/2025;Prod0064;Loyer Colbert;NONLA;NONLA;Prestation ; ;HOTEL COLBERT;1;16 623 360,00;16 623 360,00;M. Generaux;Agence Colbert;Loyer Colbert mois de fev25;77217;
45692prod0105;04/02/2025;prod0105;location imprimante agence Tamatave;SUZY;NONLA;prestation;0;SODIM;1;734 654,00;734 654,00;DAMG;Agence Tamatave;Location imprimante mois de Janv25;F829118;
45692prod0104;04/02/2025;prod0104;location imprimante 6em etage déplacé 2 ème ;SUZY;NONLA;prestation;0;SODIM;1;641 103,60;641 103,60;DAMG;Siège;Location imprimante 2 ème étage mois de jan25;F829117;
45692prod0102;04/02/2025;prod0102;location imprimante 1er etage;SUZY;NONLA;prestation;0;SODIM;1;677 518,80;677 518,80;DAMG;Siège;Location imprimante 1 ère etage mois de Janv 2025;F829115;
45692prod0103;04/02/2025;prod0103;location imprimante agence RDC;SUZY;NONLA;prestation;0;SODIM;1;597 529,20;597 529,20;DAMG;Siège;Location imprimante rdc mois de Janv25;F829116;
45692DIV0013;04/02/2025;DIV0013;Recharge Bonbonne d'eau;SUZY;NONLA;Divers;0;WIDISTRI;15;25 000,00;375 000,00;DAMG;Siège;Recharge bonbonne d'eau du 04/02/2025;CPT1950225;
45693EV013;05/02/2025;EV013;Entretien véhicule  30000km;SUZY;NONLA;entretien véhicule;0;AUTO DIFFUSION ;1;1 573 724,00;1 573 724,00;DAMG;Siège;Entretien 8000 km de la voiture 40562 WWT;AD/SAV/2025/0104;
45693DIV0026;05/02/2025;DIV0026;Lave-Main bidon;SUZY;NONLA;Divers;0;Pro d'hyg;3;23 500,00;70 499,99;DAMG;Siège;Achat de produit d'entretien pour le mois de Fev25;PFAC/2025/0270;
45693DIV0009;05/02/2025;DIV0009;Liquide vaiselle;SUZY;NONLA;Divers;0;Pro d'hyg;12;3 500,00;42 000,05;DAMG;Siège;Achat de produit d'entretien pour le mois de Fev25;PFAC/2025/0270;
45694EV010;06/02/2025;EV010;Entretien véhicule  20000km;SUZY;NONLA;Entretien véhicule ;0;AUTO DIFFUSION ;1;1 273 926,00;1 273 926,00;DAMG;Siège;Entretien 20000 km de la voiture 1187 wwt;AD/SAV/2025/0108;
45695CONS0014;07/02/2025;CONS0014;Encre HP106A Noir;SUZY;NONLA;Consommable; ;Touskinfo;5;230 000,00;1 150 000,00;M. Generaux;Siège;Achat Toner Fev25;CONS1108/25;
45695CONS0015;07/02/2025;CONS0015;Encre HP415A Black ;SUZY;NONLA;Consommable; ;Touskinfo;3;300 000,00;900 000,00;M. Generaux;Siège;Achat Toner Fev25;CONS1108/25;
45695CONS0016;07/02/2025;CONS0016;Encre HP415A Cyan;SUZY;NONLA;Consommable; ;Touskinfo;2;300 000,00;600 000,00;M. Generaux;Siège;Achat Toner Fev25;CONS1108/25;
45695CONS0017;07/02/2025;CONS0017;Encre HP415A Yellow;SUZY;NONLA;Consommable; ;Touskinfo;2;300 000,00;600 000,00;M. Generaux;Siège;Achat Toner Fev25;CONS1108/25;
45695CONS0018;07/02/2025;CONS0018;Encre HP415A Magenta;SUZY;NONLA;Consommable; ;Touskinfo;2;300 000,00;600 000,00;M. Generaux;Siège;Achat Toner Fev25;CONS1108/25;
45696Prod0006;08/02/2025;Prod0006;Cantine personnel AFG;SUZY;NONLA;Prestation de cantine;0;FRESH DELIVERY;807;10 000,00;8 070 000,00;DAMG;Siège;Cantine personnel pour le mois de Janv 25;001/25/BQ;
45698prod0124;10/02/2025;prod0124;Assurance multi-risque professionnelle;NONLA;NONLA;prestation;0;AFG ASSUR Madagascar;1;49 880 967,00;49 880 967,00;DAMG;Siège;Assurance multirisque Professionnelle pour la période 01/01/2025 au 31/12/2025;301537-012025;
45699Prod0001;11/02/2025;Prod0001;prestation ménage;NONLA;NONLA;prestation ménage; ;RAO;1;550 000,00;550 000,00;M. Generaux;Agence Colbert;Ménage de l'agence Colbert pour le mois de Fev25;243AC/02/2025;
45699Prod0001;11/02/2025;Prod0001;prestation ménage;NONLA;NONLA;prestation ménage; ;RAO;1;5 600 000,00;5 600 000,00;M. Generaux;Siège;Ménage du siège pour le mois de fev25;242AC/01/2025;
45699Prod0001;11/02/2025;Prod0001;prestation ménage;SUZY;NONLA;prestation ménage;0;PRONET ;1;1 300 000,00;1 300 000,00;DAMG;Agence Tamatave;Ménage Tamatave mois de Fev25;087/25-NA;
45699Prod0081;11/02/2025;Prod0081;Logiciel;NALI AIME;NALI AIME;Prestation;0;ALTRADISS;3;18 000,00;54 000,00;DSI;Siège;Accessoires informatiques;FA0245-25;
45699Pmat0026;11/02/2025;Pmat0026;Adapteur USB Type-C Rj45 10/100/1000;NALI AIME;NALI AIME;Petits matériels;0;ALTRADISS;5;101 000,00;505 000,00;DSI;Siège;Accessoires informatiques;FA0245-25;
45699Pmat0024;11/02/2025;Pmat0024;Cable type C;NALI AIME;NALI AIME;Petits matériels;0;ALTRADISS;2;7 000,00;14 000,00;DSI;Siège;Accessoires informatiques;FA0245-25;
45699DIV0013;11/02/2025;DIV0013;Recharge Bonbonne d'eau;SUZY;NONLA;Divers;0;WIDISTRI;15;25 000,00;375 000,00;DAMG;Siège;Recahrge bonbonne d'eau du 11/02/2025 au 18/02/2025;CPT10270225;
45700prod0095;12/02/2025;prod0095;Assurance Cyber sécurité;NONLA;NONLA;prestation;0;AFG HOLDING;1;146 182 608,00;146 182 608,00;DAMG;Siège;Refacturation prime d'assurance Cybersecurité pour la période 2025;AFGH/2025/02/02;
45701FNR0098;13/02/2025;FNR0098;Scellés;TOLOTRA;DANIEL;Fourniture de banque;0;BRINKS;200;1 600,00;320 000,00;DO;Siège;Achat de scellé pour sac de fonds;2600225;
45702Prod0023;14/02/2025;Prod0023;Cocktail et restauration diverses;SUZY;NONLA;Restaurants;0;FRESH DELIVERY;80;10 000,00;800 000,00;DAMG;Siège;Traiteur du 14/02/2024;002/25/BQ;
45702IMP0059;14/02/2025;IMP0059;Impression divers;CATHY;CATHY;Travaux d'impressions et publicité;0;MEGAPrint;1000;2 465,00;2 465 000,00;DAMG;Siège;Achat calendrier  plateau pour le nouvel an;00487/fa/25/mp/tnr;
45705IMP0002;17/02/2025;IMP0002;Carte de visite;SUZY;NONLA;Travaux d'impressions et publicité;0;FOCUSPRINT (FOCUS GROUP);600;486;291 600,00;DAMG;Siège;Carte de visite;15193/FP/25;
45706DIV004;18/02/2025;DIV004;Goodies VIP;CATHY;CATHY;divers; ;GOURMET;1;1 444 500,00;1 444 500,00;marketing;Siège;Achat de coffret cadeau VIP vins et coffret Gourmet ;126-DA25;
45706Prod0076;18/02/2025;Prod0076;Honoraire Huissier de justice;Miora Jur;MALALA;Prestation; ;RABENIMANANA Normad;1;1 500 000,00;1 500 000,00;juridique;Agence Tamatave;Reliquat honoraire d'expertise évaluation propriété à Tamatave;128-DA25;
45706prod0126;18/02/2025;prod0126;Assurance Santé staff;NONLA;NONLA;prestation;0;AFG ASSUR Madagascar;1;171 117 201,00;171 117 201,00;DAMG;Siège;Assurance santé Staff de la banque pour la période 01/01 au 31/12/2025 total 193250336 -22133135;300586-022025;
45706DIV0013;18/02/2025;DIV0013;Recharge Bonbonne d'eau;SUZY;NONLA;Divers;0;WIDISTRI;15;25 000,00;375 000,00;DAMG;Siège;Recharge bonbonne d'eau du 18/02/2025 au 24/02/2025;CPT19480225;
45707Prod0007;19/02/2025;Prod0007;Mise à disposition intérimaires ;SUZY;NONLA;Prestation interimaires;0;EQUITY TRADE (IABI job service);1;19 707 048,00;19 707 048,00;DAMG;Siège;Prestataire interimaires pour le mois de Fev25;F2025-005;
45707Prod0007;19/02/2025;Prod0007;Mise à disposition intérimaires ;SUZY;NONLA;Prestation interimaires;0;EQUITY TRADE (IABI job service);1;902 500,00;902 500,00;DAMG;Siège;Prestataire interimaires du 19/02/2025;F.2025.0008;
45708Prod0065;20/02/2025;Prod0065;Caution;SUZY;NONLA;Prestation ; ;SODIM;1;1 537 200,00;1 537 200,00;M. Generaux;Siège;Caution de rajout des 03 imprimantes Colbert/ 3ème et 6ème étage;124-DA25;
45708EV014;20/02/2025;EV014;Entretien vehicule 25000 km;SUZY;NONLA;Entretien vehicule;0;CT  MOTORS;1;687 600,00;687 600,00;DAMG;Siège;Entretien 25 000 km voiture 22999 wwt;FV+SIE0325-001067;
45708IMP0002;20/02/2025;IMP0002;Carte de visite;SUZY;NONLA;Travaux d'impressions et publicité;0;FOCUSPRINT (FOCUS GROUP);200;486;97 200,00;DAMG;Siège;Carte de visite SG ;15304/fp/25;
45708Prod0072;20/02/2025;Prod0072;Redevance BFM;SUZY;NONLA;Redevance;0;BANKY FOIBEN'I MADAGASIKARA;1;3 872 400,00;3 872 400,00;DAMG;Siège;Redevance fixe et frais traitement de 3872400;5452;
45708Prod0072;20/02/2025;Prod0072;Redevance BFM;SUZY;NONLA;Redevance;0;BANKY FOIBEN'I MADAGASIKARA;1;7 289 064,00;7 289 064,00;DAMG;Siège;Redevance de charge de structure + volume du 03/02/2025 ;03022025083203/00017;
45709Prod0040;21/02/2025;Prod0040;Sécurisation et gardienage;MARIA;NONLA;Prestation;0;SSSM;1;11 668 320,00;11 668 320,00;DAMG;Siège;Gardiennage Siège, GAB sige et local Andranomena pour le mois de de FEV2025;58013/A;
45713Prod0021;25/02/2025;Prod0021;Location véhicule;SUZY;NONLA;Transport;0;BLUEBERRY TRAVEL;4;270 000,00;1 080 000,00;DAMG;Siège;Location de voiture pour la retraite strategique du CODIR;BBM/FP/02/2025;
45713DIV0013;25/02/2025;DIV0013;Recharge Bonbonne d'eau;SUZY;NONLA;Divers;0;WIDISTRI;15;25 000,00;375 000,00;DAMG;Siège;Recharge bonbonne d'eau du 25/02/2025 au04/03/2025;CPT27820225;
45715Prod0040;27/02/2025;Prod0040;Sécurisation et gardienage;MARIA;NONLA;Prestation;0;SSSM;1;11 135 556,00;11 135 556,00;DAMG;Siège;Sécurité et gardiennagerésidence COMEX  fev25;58019/A;
45715Prod0040;27/02/2025;Prod0040;Sécurisation et gardienage;MARIA;NONLA;Prestation;0;SSSM;1;6 482 400,00;6 482 400,00;DAMG;Siège;Sécurité et gardiennage Agence Tamatave fev25;39158/T;
45715Prod0040;27/02/2025;Prod0040;Sécurisation et gardienage;MARIA;NONLA;Prestation;0;SSSM;1;7 432 704,00;7 432 704,00;DAMG;Siège;Sécurité et gardiennage des GAB hors sites FEV25;58016/A;
45715Prod0040;27/02/2025;Prod0040;Sécurisation et gardienage;MARIA;NONLA;Prestation;0;SSSM;1;5 924 736,00;5 924 736,00;DAMG;Siège;Gardiennage Agence Colberrt mois de Fev 25;58023/A;
45715DIV004;27/02/2025;DIV004;Goodies VIP;CATHY;CATHY;divers;0;Sambika Sarlu;1;220 500,00;220 500,00;DMC;Siège;Cadeau goodies lors de l'evenement mining Business Imdaba capetown;SAM-25-047;
45716CONS0010;28/02/2025;CONS0010;Carburant;NONLA;NONLA;Consommable;0;TOTAL Energies;1;18 430 180,50;18 430 180,50;DAMG;Siège;Carburant pos-payées mois de fev25 Part AFG OI: 1469986  et SCM: 313280 MGA;FA25/104207;
45716Prod0055;28/02/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;GULFSAT Madagascar;1;620 879,00;620 879,00;DSI;Siège;Interco BFM-AFG bank Mars25;620879/010325;
45716Prod0038;28/02/2025;Prod0038;Envoi courrier et colis ;SUZY;NONLA;Prestation;0;Madagascar Express;1;23 800,00;23 800,00;DAMG;Siège;Expédition colis et courrier Tmve-Tana fev25;NAT25/00184;
45716Prod0038;28/02/2025;Prod0038;Envoi courrier et colis ;SUZY;NONLA;Prestation;0;Madagascar Express;1;127 500,00;127 500,00;DAMG;Siège;Expédition colis et courrier Tana-Tmtv fev25;NAT25/00179;
45716Prod0021;28/02/2025;Prod0021;Location véhicule;SUZY;NONLA;Transport;0;MBAC;1;7 000 000,00;7 000 000,00;DAMG;Siège;Location voiture MG;20250228-28;
45716Prod0021;28/02/2025;Prod0021;Location véhicule;SUZY;NONLA;Transport;0;MBAC;1;1 000 000,00;1 000 000,00;DAMG;Siège;Location voiture MG;20250228-27;
45717Prod0055;01/03/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;AIRTEL;1;921 456,00;921 456,00;DSI;GAB BUT;Connexion internet GAB BUT fev25;9,50E+14;
45717Prod0055;01/03/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;AIRTEL;1;4 904 571,42;4 904 571,42;DSI;Siège;Interconnexion Agence Tamatave et Agence Antaninarenina fev 25;9,50E+14;
45717Prod0055;01/03/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;AIRTEL;1;30 520 929,60;30 520 929,60;DSI;Siège;Back up internet fev25;9,50E+14;
45717Prod0014;01/03/2025;Prod0014;Jirama eau et éléctricité;SUZY;NONLA;Prestation;0;SIRR;1;191 273,88;191 273,88;DAMG;GAB BUT;électricité GAB BUT  janvier 2025 refacturation;FA2500450;
45717Prod0051;01/03/2025;Prod0051;Loyer Tamatave;SUZY;NONLA;Prestation Loyer;0;SCI LAM;1;12 426 548,00;12 426 548,00;DAMG;Agence Tamatave;Loyer agence Tamatave mois d'Avril;FC1702365;
45717Prod0055;01/03/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;Yas;1;134 500,00;134 500,00;DSI;Siège;Connexion FO DG Ina mois d'Avril 2025;7 063 923;
45717Prod0055;01/03/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;Yas;1;352 000,00;352 000,00;DSI;Siège;Interco GAB Analamahitsy Avril25;7063923;
45717Prod0055;01/03/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;Yas;1;124 500,00;124 500,00;DSI;Siège;Connexion FO DGA mois d'Avril25;F2504920339;
45717Prod0055;01/03/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;Yas;1;124 500,00;124 500,00;DSI;Siège;Connexion FO SG mois d'Avril25;F2504915293;
45717Prod0055;01/03/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;Yas;1;124 500,00;124 500,00;DSI;Siège;Connexion FO DG Gervais mois d'Avril25;7011266;
45717Prod0055;01/03/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;Yas;1;124 500,00;124 500,00;DSI;Siège;Connexion FO Edgard  mois d'Avril25;7001585;
45717Prod0055;01/03/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;Yas;1;124 500,00;124 500,00;DSI;Siège;Connexion FO Nonla  mois d'Avril25 à refacturer à SCM;701506;
45717Prod0048;01/03/2025;Prod0048;Abonnement flotte mobile ;SUZY;NONLA;Prestation Telma;0;Yas;1;8 306 940,00;8 306 940,00;DAMG;Siège;Abonnement téléphonique Telma mois d'Avril25;F2504915098;
45717Prod0048;01/03/2025;Prod0048;Abonnement flotte mobile ;SUZY;NONLA;Prestation Telma;0;Yas;1;100 980,43;100 980,43;AFG OI;AFG ASSUR;Abonnement téléphonique Telma mois d'Avril25;F2504915098;
45717Prod0048;01/03/2025;Prod0048;Abonnement flotte mobile ;SUZY;NONLA;Prestation Telma;0;Yas;1;231 431,00;231 431,00;AFG OI;SCM;Abonnement téléphonique Telma mois d'Avril25;F2504915098;
45717Prod0048;01/03/2025;Prod0048;Abonnement flotte mobile ;SUZY;NONLA;Prestation Telma;0;Yas;1;273 839,00;273 839,00;AFG OI;AFG OI;Abonnement téléphonique Telma mois d'Avril25;F2504915098;
45717Prod0048;01/03/2025;Prod0048;Abonnement flotte mobile ;NALI AIME;NALI AIME;Prestation Telma;0;Yas;1;1 279 800,00;1 279 800,00;DSI;Siège;Connexion internet DATA TPE mois d'Avril 2025;F2504917976;
45717prod0098;01/03/2025;prod0098;abonnement envoi sms de AFG Bank;NALI AIME;NALI AIME;prestation;0;Yas;1;1 694 656,00;1 694 656,00;DSI;Siège;Abonnement SMS connect du mois d'Avril 2025;F2504920165;
